id,Title,Votes,Status,Types,Episodes,Score,Source,Members,Popularity,Favourites,Rating,Year,Season,Genres,Studios
45845,Shanmao He Ji Mi Zhi Pintu Mima,,finished_airing,tv,52,,original,,,,pg,,,['Kids'],
46101,Du La Jiaoyu Baike,,finished_airing,tv,457,,original,,,,pg,,,['Kids'],
46357,Jietou Zuqiu,,finished_airing,tv,26,,original,,,,pg,,,['Sports'],
46869,Cha A Er Zhong Nan Qin 501,,finished_airing,ona,20,,original,,,,g,,,['Slice of Life'],
47125,Qiaopi Da Zui Mao Zhi Meng Chong Tianxia,,finished_airing,tv,50,,original,,,,pg,,,['Kids'],
47381,Bai Bian Bu Lu Ke,,finished_airing,tv,20,,original,,,,pg,,,['Fantasy'],
47893,Koudai Senlin,,finished_airing,tv,52,,original,,,,pg,,,['Kids'],
48149,Kkulbeol-ui Chingu,,finished_airing,movie,1,,original,,,,,,,['Kids'],
49429,Nageki no Ice Candy,52,finished_airing,movie,1,,original,105,18579,,pg_13,,,['Slice of Life'],
50453,Jiyi Guanli Ju (20??),,not_yet_aired,ona,,,original,,,,,,,['Action'],
51221,15-fun de Wakaru Inazuma Eleven: Ares no Tenbin,36,finished_airing,ona,1,,game,127,18290,,g,2018,spring,"['Sports', 'Team Sports']",['OLM']
7446,Karo to Piyobupt: Sandwich,387,finished_airing,movie,1,4.97,original,689,12771,,g,,,['Comedy'],
8214,"Tekkamen wo Oe: ""d'Artagnan Monogatari"" yori",271,finished_airing,special,1,6.05,novel,812,12274,,g,1987,spring,"['Action', 'Historical']",['Gallop']
9494,Soukyuu no Fafner: Arcadian Memory,696,finished_airing,ova,2,6.5,original,2912,8890,,pg_13,2005,fall,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",['Xebec']
10262,Gag Manga Biyori: Jump Festa 2002 Special,426,finished_airing,special,1,6.3,manga,925,11894,,pg_13,,,['Comedy'],
30998,Yuujou no Kickoff,49,finished_airing,ova,1,,,170,17560,,g,,,"['Drama', 'Kids', 'Sports']",
31510,Guitar,89,finished_airing,movie,1,,,207,16915,,g,,,['Music'],
32790,Urmă (Zanzou),238,finished_airing,music,1,5.06,music,465,13869,,pg,2011,winter,"['Music', 'Supernatural', 'Vampire']",
36118,Onagawa Chuu Baske Bu: 5-nin no Natsu,46,finished_airing,special,1,,other,349,14888,,g,2017,summer,"['Sports', 'Team Sports']",
